TMEM30B,UCHL3,
CHMP5,LAS1L,
ISL1,LMF1,
LOC649133,RASA2,
TOR1A,CCZ1,
PCDH18,TAF7,
TRUB2,DPY19L2,
SPTAN1,NGRN,
PCBD1,IDH3A,
DACT1,KMT2B,
ECSIT,MAEA,
OGFOD3,THEM4,
UBA52,NOXO1,
PATE3,ST7,
LMOD3,KDM3A,
WDR62,ATXN2L,
GTF3C5,MAP3K1,
FGF17,ACOT7,
SQLE,NT5C3A,
EPYC,STKLD1,
TMC5,SNORD117,
RAP1GAP2,CARD16,
UNKL,ZNF530,
HCK,ABCG2,
HAUS4,PER1,
VSIR,DMPK,
MICOS13,VASP,
SLC25A15,AAGAB,
SNORD11,SRSF9,
SEPTIN2,EIF2B1,
DMC1,VPS13C,
TEKT3,POMT2,
ZZZ3,GFER,
RNF26,BLMH,
RNF181,CHD2,
KLHL18,WASH8P,
HAT1,MOAP1,
TBC1D13,NDUFAB1,
ID2,SETD6,
NAT8B,ZNF697,
ZMAT3,KIFC3,
DOK2,PRKD2,
IFI30,ANKIB1,
ADAM17,DEF8,
SDF2L1,ANKRD33B,
NFYC-AS1,MZT1,
RAD54L,RBM26,
TCAF1,RSAD2,
DPP7,ARF6,
TTC12,B3GNTL1,
ARRDC2,RNF157-AS1,
PTGER1,CD9,
BPNT2,CEP170B,
DPM2,FAM185A,
HAND2,FBXO34,
HAND2-AS1,TBK1,
ACTR6,RHPN1,
PTPN11,CCZ1P-OR7E38P,
SEMA4B,SPATS2,
SC5D,ZNF117,
NUAK1,RHEB,
PLXNB1,DPH1,
RRP9,PPTC7,
MCRIP2,STAMBPL1,
DYNC1I2,KLRA1P,
CA2,RPL32P3,
MICALL1,NUP205,
TWF2,G6PD,
USP49,NCLN,
PHF19,HEATR4,
BIRC2,SNHG11,
METAP1D,HOXA1,
NIPAL1,MKNK1,
MCHR1,SRRM2,
NOL8,TRIM11,
THAP7,SCARNA27,
TOMM40L,TRMT6,
TRAPPC12,IER3IP1,
LINC01094,BMT2,
GJB1,OAT,
SLC19A1,RNF138,
APEX2,B4GALT6,
ID1,CALU,
FAR1,SRGAP1,
EMC10,SCARNA15,
SOCS5,CKAP2,
PUDP,DUSP12,
GALNT1,ADGRE2,
PPP1CA,SAT1,
ZNF670,TJAP1,
SHKBP1,H3-3A,
PRMT3,DLGAP4,
MOB1B,MANBA,
MAP6,POMP,
PGAP3,TSPAN3,
RPAP2,SUN1,
GPX1,METTL3,
ADAM19,SEPTIN7,
RANGRF,MFN1,
TTC33,CREB5,
RTN4RL1,NAT9,
SPTY2D1,TMEM170B,
NETO1,PDCD7,
CPLANE1,AZIN2,
RNY3,PSMD6,
IGDCC3,HEXIM1,
CBLB,TEX30,
OXA1L,DAGLA,
SMPD2,C4orf33,
MIR219A2,SNORA27,
FUOM,SULF2,
TRAF4,DGUOK,
SLCO5A1,PHTF2,
LHX1,CACNA1A,
CLHC1,EBLN2,
SCN1B,SRCIN1,
ATP13A2,AUP1,
FAM124B,PSMD2,
CLDND1,ZSCAN16,
GGACT,RAB8B,
OR4F21,HNRNPA2B1,
SLC25A19,TAS2R20,
MIR300,TLCD5,
ARMC6,LGALSL,
SV2A,SHOC2,
PIP5K1C,MCL1,
CREB1,CIAPIN1,
DDX41,STAMBP,
ST8SIA2,YEATS2,
KLF9,FBXL14,
FAM110B,MCM3AP,
RBM38,VARS2,
MIGA2,EIF6,
METTL13,EHD1,
PLD2,ARIH1,
MUC13,HCG18,
IL12RB1,MIR324,
HS3ST1,PAK2,
NOX4,KIAA0232,
NAT8,STMP1,
TEDC1,ARL2BP,
MSI2,ACTB,
CTC1,ZNF431,
SCAND1,MIR23AHG,
RSL24D1,MIR4257,
ALG14,FBXO38,
VWA3A,VPS36,
BLTP2,CTPS2,
RALYL,UBALD2,
C1orf52,ACIN1,
N6AMT1,ZBTB1,
UCP2,ARIH2,
SRSF1,CCDC93,
SLC7A8,GALM,
REEP4,CCNT1,
