,KMT2E,
,DDX28,
,SLBP,
,HNRNPDL,
,SRSF9,
,CDV3,
,SAFB2,
,BRI3BP,
,MARK2,
,ZNF830,
,LMNB1,
,YTHDC2,
,TSPOAP1,
,R3HDM4,
,SLC9A9,
,ELL,
,TRIM41,
,FOXP1,
,POLM,
,NFKB2,
,TC2N,
,LOC729683,
,YY1,
,NLRP4,
,MXD3,
,SIMC1P1,
,CHTOP,
,DCAF5,
,PABIR1,
,GPCPD1,
,PSMA3-AS1,
,MTHFSD,
,PARP1,
,ZNF207,
,FGFR1OP2,
,HERC3,
,TRIM59,
,LAMP5,
,WDR33,
,TRMT10B,
,TADA2A,
,LINC00938,
,ZNF763,
,ERICH1,
,CEP295,
,CTSH,
,RPRD1B,
,ZNF765,
,SNAP23,
,BMP2K,
,STK11,
,HNRNPK,
,ARL14EP,
,TUBGCP6,
,SATB1,
,DEPDC5,
,ATF7IP,
,PMS2P5,
,BCL9L,
,CH25H,
,MIR3142,
,PUS7L,
,NOA1,
,GET4,
,XPA,
,ERP29,
,ABCD2,
,ZBED10P,
,CMAHP,
,ZNF91,
,GIN1,
,AP1G1,
,ZNF573,
,IL33,
,GABPB1,
,CUL3,
,REPIN1,
,EDC4,
,NUDT21,
,PRKCH,
,HAUS8,
,ZNF655,
,LOC100129034,
,CBL,
,JMJD1C,
,CMIP,
,TUT4,
,WAPL,
,LY86,
,INO80E,
,ZNF510,
,UBLCP1,
,HAUS3,
,ZNF814,
,ZNF468,
,ZNF681,
,MAP2K4,
,PPP1R12A,
,METTL18,
,ITGA4,
,LFNG,
,RAB35,
,CDK14,
,ZNF486,
,VRK1,
,PNPLA7,
,RBM27,
,U2AF2,
,CCDC66,
,ZNF318,
,RIC3,
,ZNF736,
,SZT2,
,ZBTB48,
,INIP,
,NOG,
,CTLA4,
,DCAF12,
,CNR1,
,AP1G2,
,AFTPH,
,ZBTB11,
,LINGO1,
,ZNF76,
,NRIP2,
,ZNF224,
,MAX,
,FAM13B,
,PHKG2,
,TNK2,
,ARL4C,
,E2F4,
,PPP6C,
,ZNF431,
,BAG5,
,LSP1,
,ZFC3H1,
,MRPS31,
,HDAC1,
,ZNF417,
,ZNF862,
,ZNF263,
,DAXX,
,ZNF480,
,CDKN1B,
,EXOSC9,
,COX18,
,RPA2,
,ABCA11P,
,PHF6,
,ZNRF2,
,LCNL1,
,PLEKHG2,
,KLF13,
,PHF11,
,SPPL2B,
,SMCHD1,
,BIK,
,CWF19L1,
,RFX1,
,RNPC3,
,COTL1,
,SP3,
,PRMT1,
,SDHAF1,
,CXCR4,
,PAN3,
,XAB2,
,WDR82,
,LARP7,
,ARID3B,
,MCUB,
,ZMAT2,
,RANBP3,
,HEIH,
,HNRNPC,
,SRP72,
,CUTC,
,ZNF319,
,RSRC2,
,SH2B1,
,PAPOLA,
,ZBTB40,
,MYO15B,
,TENT4B,
,SRRT,
,ZNF592,
,FAM193B,
,PWWP2A,
,CBX5,
,WTAP,
,ACOX3,
,TRMT44,
,AIP,
,DCAF15,
,BRD7,
,SPDYE3,
,MUS81,
,ZNF786,
,PRR13,
,RBM8A,
,THUMPD1,
,RAP2C,
,POP4,
,CNOT1,
,ZFP90,
,CIRBP,
,EIF4E,
,ICOSLG,
,SERPINB9,
,SLFN13,
,KPNA5,
