NEK8,,
FGF13-AS1,,
NELFA,,
RPP14,,
SRP19,,
PTAFR,,
SFR1,,
FASTKD3,,
MED18,,
NFATC1,,
GABRG3,,
LENG9,,
STXBP2,,
EIF3K,,
COPS5,,
KMT2E-AS1,,
SDHC,,
MAPKAP1,,
FCGRT,,
SMARCA2,,
USP25,,
TRMT44,,
DR1,,
PLA2G4A,,
DBI,,
SMARCAD1,,
ORAI3,,
WAPL,,
FRMD5,,
MTCL1,,
RPS29,,
ADH5,,
MRPS28,,
SAMSN1,,
RPS3A,,
EIF2S1,,
TM4SF19,,
CBR4,,
NRN1,,
PLTP,,
SECISBP2,,
EXOSC9,,
GEMIN8,,
RBIS,,
KRTCAP2,,
TLR1,,
TRNT1,,
FBXL8,,
DET1,,
CPLANE2,,
CPED1,,
SUPT20H,,
RAPGEF6,,
TIMM9,,
MIB2,,
RNF44,,
MED28,,
WDR89,,
RPS7,,
RPS23,,
MTHFSD,,
CCDC22,,
WRAP73,,
CARMIL2,,
LYSMD2,,
ZSCAN32,,
PMPCB,,
ZFP14,,
EXOC7,,
DDX60,,
ALKBH7,,
TMEM14A,,
ZFP36L2,,
TMEM268,,
FLNB,,
ZNF524,,
DNMT3A,,
RNF144A,,
LAIR2,,
PSMA2,,
RGS16,,
ITPR3,,
SRSF3,,
PLEKHA4,,
DDX49,,
TIMM10B,,
C5orf24,,
TAF15,,
NFAM1,,
CNKSR3,,
LBHD1,,
RBM12,,
TAPBP,,
TASOR,,
PLXNB1,,
AZIN2,,
RMND5B,,
IRAK4,,
SUCLG2,,
TCERG1L,,
OAS2,,
ZBTB5,,
ETV7,,
TOMM22,,
ERGIC3,,
MON1B,,
CD19,,
PAX6,,
ALG14,,
LINC00997,,
YTHDF3-DT,,
LRRC14,,
FAM13B,,
LSM3,,
RPSA,,
NRBP2,,
RPL28,,
RPL26,,
CAPZB,,
NAA38,,
CSKMT,,
PDE6H,,
HLA-DMA,,
LINC00698,,
E2F4,,
GCDH,,
NAPA,,
CLIC5,,
GABPA,,
RNF167,,
RPL18,,
RPS2,,
ZNF791,,
COMMD9,,
